ID,Period,GDP_Germany,GDP_France,GDP_Hungary,GDP_Austria,GDP_UK
1,1995-Q1,485389.6,301295.7,9126.1,45186.6,258920
2,1995-Q2,498563.1,304851.3,8657.2,46282.5,252793.8
3,1995-Q3,496335.7,308795.6,8759.9,46172.2,257135.1
4,1995-Q4,498107.9,310314.7,8933.8,46725.6,256787.7
5,1996-Q1,490317.4,314752.7,9050.7,46565.2,261944.1
6,1996-Q2,491641.4,316423.8,9138.6,46602.7,273222.2
7,1996-Q3,494498.4,317599.2,9186.9,46959.4,279712.1
8,1996-Q4,492513.2,316518.2,9381.4,46725.9,301587.8
9,1997-Q1,485334.6,315674.3,10217.8,46587.6,323971.3
10,1997-Q2,488238.7,319235.4,10371.3,46691.3,336947
11,1997-Q3,489072.3,320461.7,10570.6,47048.8,360743.2
12,1997-Q4,492564.7,327187.7,10589.9,47656.5,353766.3
13,1998-Q1,496412,330387.3,10998.6,47928,368405.7
14,1998-Q2,497263.9,334480,10917.8,48543,370963.2
15,1998-Q3,501317.2,337293.4,10810.6,48991,370087.4
16,1998-Q4,503725,341461.7,10744.6,49495.3,365688.6
17,1999-Q1,509667,344103,10882.4,50098.6,375618.5
18,1999-Q2,510728,347405,11365.3,50490.3,390062.9
19,1999-Q3,515634,351727,11685.5,51293.7,397358.5
20,1999-Q4,518659,356559,12098.3,51592.7,416369.1
21,2000-Q1,524447,362520,12284.1,52630.7,440633.4
22,2000-Q2,527770,367699,12524.9,52932.7,448128.1
23,2000-Q3,529151,372199,13087.7,53484,449684.1
24,2000-Q4,527676,377017,13319,54662.4,460050.6
25,2001-Q1,541533,380711,13738.8,54503,440891.6
26,2001-Q2,541320,383524,15000.8,54865.2,464057.5
27,2001-Q3,544198,386403,15636.8,55105.5,461506.3
28,2001-Q4,548168,388669,15705.1,55985.2,464659.4
29,2002-Q1,546237,392606,17430.1,55846.1,474044.7
30,2002-Q2,546719,395624,17563.9,56596,468518.6
31,2002-Q3,554392,399192,17948,57136.1,470235.9
32,2002-Q4,554247,401230,18832,57241.9,476392.4
33,2003-Q1,549071,403277,18633.9,57746,458580.4
34,2003-Q2,550185,404602,18634.8,57840.4,442622.8
35,2003-Q3,557133,409661,18629.3,58085,452971.2
36,2003-Q4,558478,414352,19554,58360.4,461580.1
37,2004-Q1,560038,419723,19985.9,59512.5,474939.3
38,2004-Q2,566012,423654,21014.4,59835.2,493273.3
39,2004-Q3,564987,426218,21278.3,60812.4,492131.3
40,2004-Q4,563984,431711,21650.8,61633.6,481588.9
41,2005-Q1,565253,435060,21966.2,62253.1,487191.8
42,2005-Q2,568562,438375,22465.2,63158.2,511352
43,2005-Q3,573650,441968,23349.4,63918.7,511705.5
44,2005-Q4,577243,448544,23322.5,64596.9,527103.1
45,2006-Q1,581839,453874,23022.8,65689.5,526949.4
46,2006-Q2,594338,460485,22705.1,66267,532743
47,2006-Q3,599019,463942,22565,67552.3,543666.2
48,2006-Q4,610361,471173,23897.1,68375.1,554300.7
49,2007-Q1,616009,476911,25162,69455.1,564588
50,2007-Q2,623270,483473,25556,70601.2,564784.9
51,2007-Q3,628499,488761,25778,71303.5,572728.3
52,2007-Q4,634954,493434,25956.3,72474.9,557520.3
53,2008-Q1,638587,499122,26676.2,72978.7,529324.4
54,2008-Q2,639049,499919,27644.5,74019.4,503134.2
55,2008-Q3,636293,498708,28500.2,74004.4,499582.4
56,2008-Q4,628862,493173,25654,72613.8,467741.7
57,2009-Q1,603612,484670,22532,71627.3,423029.8
58,2009-Q2,606851,482266,23124.7,71442.1,438786.8
59,2009-Q3,613450,482264,24227.3,72168.5,447190.8
60,2009-Q4,619613,487625,24808.6,72639.5,429558
61,2010-Q1,624949,491276,25012.8,72373.9,444882.8
62,2010-Q2,635422,495773,24838.5,73422.7,471131.8
63,2010-Q3,645696,501196,24578,74219.7,484305.9
64,2010-Q4,652519,505339,25425.5,75359,472528.6
65,2011-Q1,665181,511177,25702.3,76800.3,485140.4
66,2011-Q2,668229,512535,26548,77272.1,466455.6
67,2011-Q3,676798,515485,26082,78069.4,472725.6
68,2011-Q4,679205,518225,24054,77993.7,489082.8
69,2012-Q1,680685,520195,24286.4,79381.4,505041.5
70,2012-Q2,683655,521372,24452.1,79458.6,523095.6
71,2012-Q3,690408,523691,25745.5,79783.3,546566.8
72,2012-Q4,691596,523807,25847.2,80134,537530.3
73,2013-Q1,692297,525572,24992.1,79902.6,512313.3
74,2013-Q2,701778,529785,25627.3,80589.5,517544.9
75,2013-Q3,709028,530069,25736.6,81403.2,525717.1
76,2013-Q4,712703,532778,25923.5,81913.2,541019.8
77,2014-Q1,725275,535153,26079.1,81924.2,555148.8
78,2014-Q2,729064,535671,26633.9,83302.8,569087.2
79,2014-Q3,734774,538731,26627.9,83825.1,590792.2
80,2014-Q4,742539,541617,26975.6,84425.1,596643.1
81,2015-Q1,745226,546737,27655.4,84736.7,637427.4
82,2015-Q2,753703,547545,28098.9,85684.2,667005.1
83,2015-Q3,759653,551091,28114.8,86662,671517.4
84,2015-Q4,764515,553024,28921.1,87157.2,669149.5
85,2016-Q1,774356,557842,28353.5,88959.3,635759.4
86,2016-Q2,780290,556074,28922.7,89105.6,631911.1
87,2016-Q3,784278,557606,29268.7,89462.9,589143.6
88,2016-Q4,789991,561010,29742.5,90014.4,583552.7
89,2017-Q1,801647,567097,30814.6,90893.3,595385.4
90,2017-Q2,812696,572763,31370,92013.2,596842.5
91,2017-Q3,823568,576831,32250.8,92896.5,576395.4
92,2017-Q4,833086,582256,32597.7,93768.5,591943.1
93,2018-Q1,833314,584753,33659.3,95489.2,597562.7
94,2018-Q2,842353,588154,33779.6,95607.3,608297.6
95,2018-Q3,843062,592889,33852.6,96439.5,604331.2
96,2018-Q4,853614,598755,34788.1,97849.2,610917.5
97,2019-Q1,862884,605472,36547.1,98920.8,628992.2
98,2019-Q2,864337,610116,36583.6,98724,630981.9
99,2019-Q3,872995,612009,36355.8,99758.3,618880.6
100,2019-Q4,878996,611187,36658.9,99911.7,649860.6
